Код	"маркет bid"	"маркет cbid"	Кластер
27975	28	28	000
25294	25	25	000
55539	65	65	000
29692	28	28	000
25728	28	28	000
23401	24	24	000
58400	71	71	000
9516	28	28	000
48089	20	20	000
32726	28	28	000
23403	23	23	000
4858	28	28	000
25741	28	28	000
22216	28	28	000
46172	28	28	000
64305	28	28	000
25378	31	31	000
62673	28	28	000
22220	28	28	000
60523	28	28	000
58208	24	24	000
67760	28	28	000
67759	28	28	000
67761	28	28	000
21579	28	28	000
60836	28	28	000
22217	28	28	000
23436	28	28	000
60865	29	29	000
22196	71	71	000
49523	29	29	000
58406	26	26	000
59621	28	28	000
22200	71	71	000
22301	29	29	000
61258	29	29	000
23326	27	27	000
60524	29	29	000
23065	29	29	000
22000	28	28	000
23559	29	29	000
23077	29	29	000
60521	29	29	000
58414	29	29	000
61728	29	29	000
8910	72	72	000
23074	29	29	000
29113	29	29	000
61368	29	29	000
62226	22	22	000
22201	30	30	000
21998	28	28	000
55869	29	29	000
56990	29	29	000
60013	29	29	000
23395	28	28	000
58399	30	30	000
34164	28	28	000
22483	29	29	000
23397	29	29	000
55057	29	29	000
68773	28	28	000
63968	29	29	000
23359	29	29	000
25661	32	32	000
63034	29	29	000
23556	29	29	000
32657	29	29	000
48979	29	29	000
68419	20	20	000
22203	37	37	000
43921	32	32	000
22202	37	37	000
62672	28	28	000
6458	34	34	000
62763	30	30	000
1647	29	29	000
55540	29	29	000
22244	30	30	000
52860	30	30	000
23027	30	30	000
59622	32	32	000
33236	30	30	000
2854	30	30	000
22345	30	30	000
6093	30	30	000
21109	73	73	000
54397	30	30	000
25465	30	30	000
60337	30	30	000
46132	30	30	000
25444	43	43	000
53727	30	30	000
37058	30	30	000
33846	30	30	000
9177	30	30	000
23644	26	26	000
23050	30	30	000
25769	76	76	000
32687	30	30	000
62312	30	30	000
62311	30	30	000
37502	30	30	000
48127	30	30	000
800051	30	30	000
62220	30	30	000
62050	29	29	000
59167	30	30	000
68421	25	25	000
57954	30	30	000
36482	30	30	000
58715	30	30	000
62719	29	29	000
59464	30	30	000
22257	30	30	000
22362	31	31	000
22213	27	27	000
61730	30	30	000
67765	30	30	000
67766	30	30	000
67768	30	30	000
67764	30	30	000
67767	30	30	000
54182	30	30	000
62718	33	33	000
58432	28	28	000
59577	28	28	000
9547	30	30	000
58431	29	29	000
59614	33	33	000
59466	30	30	000
19273	31	31	000
62274	31	31	000
37635	31	31	000
23291	30	30	000
56002	29	29	000
59379	31	31	000
68755	30	30	000
22365	31	31	000
59389	31	31	000
68423	21	21	000
21112	31	31	000
25707	31	31	000
61411	31	31	000
60525	31	31	000
59377	31	31	000
55994	38	38	000
23630	30	30	000
23539	31	31	000
18902	31	31	000
24661	31	31	000
23069	31	31	000
59156	31	31	000
45774	31	31	000
25751	78	78	000
58945	31	31	000
20745	33	33	000
46903	33	33	000
10345	31	31	000
